Timestamp,Please enter your worker ID,Please enter verification code from this writing session (session_id),Is English your first language?,"How qualified do you think you are to write about this topic? (based on background knowledge, understanding of prompts, etc.)?","During this writing session, the suggestions you received were grammatically correct, and contributed to the fluency of the essay.","During this writing session, the suggestions helped me come up with new ideas.","During this writing session, I felt like that I would have written a *better* essay if I wrote the essay alone.","During this writing session, the system was competent (having expert knowledge and ability to perform a task successfully) in writing.","During this writing session, the system was capable of writing persuasive essays.","During this writing session, the system understood what I was trying to write.",Which aspects of the suggestions (that you received during this writing session) can be improved? Any specific examples?,It was easy to write with the system.,I am satisfied with the essay I wrote.,I am confident in my ability to write an essay with the help of the system.,I feel like the essay is mine. ,____% of the essay is written by me (and the rest is written by taking the suggestions). [between 0-100%],"If the system is available for free, I would reuse the system.",Any feedback/comment? (optional)
8/24/2021 11:31:14,A1198W1SPF1R4,397a3daa2e234b5aac44e3756e7399b7,No,You are absolutely certain about your qualification.,6,5,4,4,4,3,Some suggestions are repetitive such as the bad reasons for screen time.,5,6,6,7,80,6,
8/24/2021 12:28:20,A1198W1SPF1R4,99dcceb9d7394bd1986fbf3572b3efcd,No,You are absolutely certain about your qualification.,7,7,2,6,6,7,Some of the suggestions have opposite meanings than my stance.,7,6,6,7,50,7,
8/24/2021 13:53:17,A1198W1SPF1R4,3778eebfc9df42429aa1f23db1934a9d ,No,"You are confident in your qualification, but not absolutely certain.",6,2,5,3,2,3,There was no suggestion offered most of the time.,4,6,5,7,95,5,
8/24/2021 14:55:49,A1198W1SPF1R4,2479e0314b8d41fcbfb626f38d2029d8,No,You are fairly confident in your qualification.,6,7,2,5,5,6,I was not provided with enough suggestions.,5,6,5,7,80,5,
8/24/2021 15:43:46,A1198W1SPF1R4,7d2b65dc5d284f18a56270271f023352,No,"You are confident in your qualification, but not absolutely certain.",7,6,2,6,6,7,All suggestions were good this time.,7,7,7,7,30,7,
8/25/2021 11:39:54,A1198W1SPF1R4,90a41f5187c046ada1cdd459d2036ac5,No,"You are confident in your qualification, but not absolutely certain.",7,7,2,7,7,6,I would prefer to be able to choose two suggestions at the same time instead of only one because sometimes the suggestions are really good.,7,7,7,7,40,7,
8/25/2021 19:34:35,A1198W1SPF1R4,6dddf664e4be4c41a2fd91069d43a600,No,"You are confident in your qualification, but not absolutely certain.",4,2,5,2,2,2,"The system only gave me two rounds of suggestions, which were not enough.",2,6,5,7,95,4,
8/25/2021 21:02:17,A1198W1SPF1R4,d6f24fb3c9c84d2cab1c70387d91d739,No,You are absolutely certain about your qualification.,7,7,1,7,7,7,The suggestions can be grouped together according to their stances.,7,7,7,7,30,7,
8/26/2021 16:11:38,A1198W1SPF1R4,d4c8237fa5f842c6a882d79184a82c59,No,You are absolutely certain about your qualification.,5,3,6,2,2,1,Only one round of suggestions was offered and the system didn't understand my intention.,2,6,4,7,95,3,
8/26/2021 17:18:30,A1198W1SPF1R4,3b78cf42ca2b41cdbc067aeceaa82a92,No,You are absolutely certain about your qualification.,6,7,2,7,7,7,All the suggestions are good enough.,7,7,7,7,40,7,
8/26/2021 19:32:38,A1198W1SPF1R4,40dce3e97526456ba66fa9765621ad70,No,"You are confident in your qualification, but not absolutely certain.",6,7,1,7,7,7,All the suggestions were good enough.,7,7,7,7,35,7,
8/27/2021 12:59:13,A1198W1SPF1R4,07dab80e78f24a8bb09384e9067719d0,No,You are absolutely certain about your qualification.,6,7,1,7,7,7,All the suggestions were good enough.,7,7,7,7,30,7,
8/27/2021 16:02:41,A1198W1SPF1R4,ea6ffaefc6fe47b98a0bbbaf58f0e409,No,You are absolutely certain about your qualification.,5,2,4,2,2,1,The system only provided one or two rounds of  suggestions.,2,6,4,7,95,4,
