Timestamp,Please enter your worker ID,Please enter verification code from this writing session (session_id),Is English your first language?,"During this writing session, the suggestions you received were grammatically correct, and contributed to the fluency of the story.","During this writing session, the suggestions helped me come up with new ideas.","During this writing session, I felt like that I would have written a *better* story if I wrote the story alone.","During this writing session, the system was competent (having expert knowledge and ability to perform a task successfully) in writing.","During this writing session, the system was capable of writing creative stories.","During this writing session, the system understood what I was trying to write.",Which aspects of the suggestions (that you received during this writing session) can be improved? Any specific examples?,It was easy to write with the system.,I am satisfied with the story I wrote.,I am confident in my ability to write a story with the help of the system.,I feel like the story is mine. ,____% of the story is written by me (and the rest is written by taking the suggestions). [between 0-100%],"If the system is available for free, I would reuse the system.",Any feedback/comment? (optional)
8/25/2021 20:22:00,A1198W1SPF1R4,8911f32aab914a1f903bb76300b13949,No,5,5,4,5,5,4,The suggestions were repetitive.,4,5,5,6,65,5,
8/27/2021 20:25:49,A1198W1SPF1R4,5d9be2dad6584ff4b2ab1c6f701f64cb,No,6,5,3,5,5,6,The suggestions were not creative enough.,5,5,5,6,80,6,
8/27/2021 21:01:56,A1198W1SPF1R4,a068c6552ba143c8ba4f378e49c3b640,No,6,5,2,5,5,4,The suggestions were not creative enough.,5,5,5,7,85,6,
8/29/2021 1:33:30,A1198W1SPF1R4,893f5fa336ac4092b1d4efe6c91ef24f,No,6,6,2,5,5,6,Not enough suggestions were offered.,5,6,6,7,70,7,
8/29/2021 16:54:14,A1198W1SPF1R4,b22279ff63804fa6bec5c108879812dd,No,6,5,3,5,4,5,"The suggestions I received were just average, not creative enough.",5,6,5,7,80,7,
8/29/2021 19:05:05,A1198W1SPF1R4,b3528173b35442d09e2aadaf4d06defe,No,6,6,2,6,6,7,The suggestions I received were relatively better than my previous session.,6,7,7,7,70,7,
8/29/2021 19:25:11,A1198W1SPF1R4,d8a8e6352996418a9319bbdc990bc23c ,No,6,6,3,5,5,6,"The suggestions were not creative enough, though they understood what I meant.",6,7,6,7,90,7,
8/29/2021 20:40:06,A1198W1SPF1R4,a373cb5e0c8f46e5bcbdcbd8ddac8227,No,6,7,1,7,7,7,The suggestions I received were good and relatively better than my previous session.,7,7,7,7,60,7,
8/29/2021 21:57:21,A1198W1SPF1R4,7ef377e00d564aa2a5d925668c2b2f97,No,7,7,1,7,7,7,The suggestions were very creative and helpful.,7,7,7,7,50,7,
9/1/2021 0:46:21,A1198W1SPF1R4,c9c5b78df4384aac9a2e8ebd121cca65,No,5,5,3,5,5,6,The suggestions I received were relatively worse than my previous session. They were not creative enough.,5,5,5,7,80,6,
9/1/2021 1:06:42,A1198W1SPF1R4,1ff18e51f2a1466f97bb3dbfbaf98ba6,No,6,7,1,7,7,7,The suggestions were very creative and funny.,7,7,7,7,50,7,
9/2/2021 22:12:33,A1198W1SPF1R4,bc176a916d344af496f7bdbf408db4e9,No,6,7,1,7,7,7,The suggestions were helpful and creative.,7,7,7,7,50,7,
9/3/2021 21:52:04,A1198W1SPF1R4,2a078f5a483346d283b90b5df863f87d,No,5,7,2,6,7,6,The suggestions I received were relatively better than my previous session.,6,7,6,7,80,7,
9/4/2021 13:11:07,A1198W1SPF1R4,dcb6bb7ac50740b49deae5bf9a0dc942,No,5,6,3,5,5,5,The suggestions I received were relatively worse than my previous session.,5,6,5,7,80,6,
8/27/2021 16:44:58,A118BQHK3S4UDV,126ae6528ba141a58f932a3ed097b47e,Yes,5,2,7,5,3,5,"A couple suggestions cut off in the middle of the sentence. Most were rather boring, though, and not super thrilling.",5,2,7,3,80,6,"I keep getting various errors when I try to do these HITs. I don't know what the issue is, but apparently it's abnormal."
8/31/2021 23:40:01,A118BQHK3S4UDV,41f6cb6f7e134246943e077e0d937970,Yes,2,1,7,2,2,4,"The suggestions were extremely slow to load, if they even loaded at all (I got an error at one point after waiting for what must have been nearly a minute).",2,1,4,3,90,5,I mostly just used the AI this round to flesh out some details I didn't feel like putting thought into.
8/31/2021 23:57:52,A118BQHK3S4UDV,111ee57118054cc6b8fa4ef98c1a3408,Yes,6,5,2,7,6,7,The AI suggested some great and sensical lines of dialogue and plot points. It was correctly able to reference stuff that had happened way earlier in the story.,6,6,7,5,65,6,
8/24/2021 7:01:53,A143XRCI1YXAFE,1ec9f48e9a5c40adb8e6062f233df76f ,Yes,7,7,3,7,7,7,I liked the suggestions overall. They were in tune with what I was writing already.,7,7,7,7,80,7,
